[SYS] 2024/10/05 - 02:09:48 | One API v0.6.6 started 
[SYS] 2024/10/05 - 02:12:11 | batch update finished 
[SYS] 2024/10/05 - 02:12:21 | batch update started 
[SYS] 2024/10/05 - 02:12:21 | batch update finished 
[SYS] 2024/10/05 - 02:12:31 | batch update started 
[SYS] 2024/10/05 - 02:12:31 | batch update finished 
[SYS] 2024/10/05 - 02:12:41 | batch update started 
[SYS] 2024/10/05 - 02:12:41 | batch update finished 
[SYS] 2024/10/05 - 02:12:51 | batch update started 
[SYS] 2024/10/05 - 02:12:51 | batch update finished 
[SYS] 2024/10/05 - 02:13:01 | batch update started 
[SYS] 2024/10/05 - 02:13:01 | batch update finished 
[SYS] 2024/10/05 - 02:13:11 | batch update started 
[SYS] 2024/10/05 - 02:13:11 | batch update finished 
[SYS] 2024/10/05 - 02:13:21 | batch update started 
[SYS] 2024/10/05 - 02:13:21 | batch update finished 
[SYS] 2024/10/05 - 02:13:31 | batch update started 
[SYS] 2024/10/05 - 02:13:31 | batch update finished 
[SYS] 2024/10/05 - 02:13:41 | batch update started 
[SYS] 2024/10/05 - 02:13:41 | batch update finished 
[SYS] 2024/10/05 - 02:13:51 | batch update started 
[SYS] 2024/10/05 - 02:13:51 | batch update finished 
[SYS] 2024/10/05 - 02:14:01 | batch update started 
[SYS] 2024/10/05 - 02:14:01 | batch update finished 
[SYS] 2024/10/05 - 02:14:11 | batch update started 
[SYS] 2024/10/05 - 02:14:11 | batch update finished 
[SYS] 2024/10/05 - 02:14:21 | batch update started 
[SYS] 2024/10/05 - 02:14:21 | batch update finished 
[SYS] 2024/10/05 - 02:14:31 | batch update started 
[SYS] 2024/10/05 - 02:14:31 | batch update finished 
[SYS] 2024/10/05 - 02:14:41 | batch update started 
[SYS] 2024/10/05 - 02:14:41 | batch update finished 
[SYS] 2024/10/05 - 02:14:51 | batch update started 
[SYS] 2024/10/05 - 02:14:51 | batch update finished 
[SYS] 2024/10/05 - 02:15:01 | batch update started 
[SYS] 2024/10/05 - 02:15:01 | batch update finished 
[SYS] 2024/10/05 - 02:15:11 | batch update started 
[SYS] 2024/10/05 - 02:15:11 | batch update finished 
[SYS] 2024/10/05 - 02:15:21 | batch update started 
[SYS] 2024/10/05 - 02:15:21 | batch update finished 
[SYS] 2024/10/05 - 02:15:31 | batch update started 
[SYS] 2024/10/05 - 02:15:31 | batch update finished 
[SYS] 2024/10/05 - 02:15:41 | batch update started 
[SYS] 2024/10/05 - 02:15:41 | batch update finished 
[SYS] 2024/10/05 - 02:15:51 | batch update started 
[SYS] 2024/10/05 - 02:15:51 | batch update finished 
[SYS] 2024/10/05 - 02:16:01 | batch update started 
[SYS] 2024/10/05 - 02:16:01 | batch update finished 
[SYS] 2024/10/05 - 02:16:11 | batch update started 
[SYS] 2024/10/05 - 02:16:11 | batch update finished 
[SYS] 2024/10/05 - 02:16:21 | batch update started 
[SYS] 2024/10/05 - 02:16:21 | batch update finished 
[SYS] 2024/10/05 - 02:16:31 | batch update started 
[SYS] 2024/10/05 - 02:16:31 | batch update finished 
[SYS] 2024/10/05 - 02:16:41 | batch update started 
[SYS] 2024/10/05 - 02:16:41 | batch update finished 
[SYS] 2024/10/05 - 02:16:51 | batch update started 
[SYS] 2024/10/05 - 02:16:51 | batch update finished 
[SYS] 2024/10/05 - 02:17:01 | batch update started 
[SYS] 2024/10/05 - 02:17:01 | batch update finished 
[SYS] 2024/10/05 - 02:17:11 | batch update started 
[SYS] 2024/10/05 - 02:17:11 | batch update finished 
[SYS] 2024/10/05 - 02:17:21 | batch update started 
[SYS] 2024/10/05 - 02:17:21 | batch update finished 
[SYS] 2024/10/05 - 02:17:31 | batch update started 
[SYS] 2024/10/05 - 02:17:31 | batch update finished 
[SYS] 2024/10/05 - 02:17:41 | batch update started 
[SYS] 2024/10/05 - 02:17:41 | batch update finished 
[SYS] 2024/10/05 - 02:17:51 | batch update started 
[SYS] 2024/10/05 - 02:17:51 | batch update finished 
[SYS] 2024/10/05 - 02:18:01 | batch update started 
[SYS] 2024/10/05 - 02:18:01 | batch update finished 
[SYS] 2024/10/05 - 02:18:11 | batch update started 
[SYS] 2024/10/05 - 02:18:11 | batch update finished 
[SYS] 2024/10/05 - 02:18:21 | batch update started 
[SYS] 2024/10/05 - 02:18:21 | batch update finished 
[SYS] 2024/10/05 - 02:18:31 | batch update started 
[SYS] 2024/10/05 - 02:18:31 | batch update finished 
[SYS] 2024/10/05 - 02:18:41 | batch update started 
[SYS] 2024/10/05 - 02:18:41 | batch update finished 
[SYS] 2024/10/05 - 02:18:51 | batch update started 
[SYS] 2024/10/05 - 02:18:51 | batch update finished 
[SYS] 2024/10/05 - 02:48:38 | One API v0.6.6 started 
[SYS] 2024/10/05 - 02:48:38 | using MySQL as database 
[SYS] 2024/10/05 - 02:48:38 | database migration started 
[SYS] 2024/10/05 - 02:48:38 | database migrated 
[SYS] 2024/10/05 - 02:48:38 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2024/10/05 - 02:48:38 | using theme default 
[SYS] 2024/10/05 - 02:48:38 | memory cache enabled 
[SYS] 2024/10/05 - 02:48:38 | sync frequency: 600 seconds 
[SYS] 2024/10/05 - 02:48:38 | channels synced from database 
[SYS] 2024/10/05 - 02:48:38 | batch update enabled with interval 10s 
[SYS] 2024/10/05 - 02:48:38 | initializing token encoders 
[SYS] 2024/10/05 - 02:48:38 | token encoders initialized 
[SYS] 2024/10/05 - 02:48:48 | batch update started 
[SYS] 2024/10/05 - 02:48:48 | batch update finished 
[SYS] 2024/10/05 - 02:48:58 | batch update started 
[SYS] 2024/10/05 - 02:48:58 | batch update finished 
[SYS] 2024/10/05 - 02:49:08 | batch update started 
[SYS] 2024/10/05 - 02:49:08 | batch update finished 
[SYS] 2024/10/05 - 02:49:18 | batch update started 
[SYS] 2024/10/05 - 02:49:18 | batch update finished 
[SYS] 2024/10/05 - 02:49:28 | batch update started 
[SYS] 2024/10/05 - 02:49:28 | batch update finished 
[SYS] 2024/10/05 - 02:49:38 | batch update started 
[SYS] 2024/10/05 - 02:49:38 | batch update finished 
[ERR] 2024/10/05 - 02:49:41 | 2024100502494158416483616460817 | 当前分组 default 下对于模型 gpt-4o-mini 无可用渠道 
[GIN] 2024/10/05 - 02:49:41 | 2024100502494158416483616460817 | 503 |    5.804087ms |      172.19.0.7 |    POST /v1/chat/completions
[ERR] 2024/10/05 - 02:49:41 | 2024100502494199225996737610571 | 当前分组 default 下对于模型 gpt-4o-mini 无可用渠道 
[GIN] 2024/10/05 - 02:49:41 | 2024100502494199225996737610571 | 503 |    3.252008ms |      172.19.0.7 |    POST /v1/chat/completions
[ERR] 2024/10/05 - 02:49:42 | 2024100502494282442166144159429 | 当前分组 default 下对于模型 gpt-4o-mini 无可用渠道 
[GIN] 2024/10/05 - 02:49:42 | 2024100502494282442166144159429 | 503 |     5.59615ms |      172.19.0.7 |    POST /v1/chat/completions
[SYS] 2024/10/05 - 02:49:48 | batch update started 
[SYS] 2024/10/05 - 02:49:48 | batch update finished 
[GIN] 2024/10/05 - 02:49:53 | 2024100502495354992609876740215 | 200 |    1.173417ms |   192.168.1.109 |     GET /
[GIN] 2024/10/05 - 02:49:53 | 2024100502495356618986168113555 | 200 |   35.966621ms |   192.168.1.109 |     GET /static/css/main.54631fc9.css
[GIN] 2024/10/05 - 02:49:53 | 2024100502495356525813520782752 | 200 |   41.000131ms |   192.168.1.109 |     GET /static/js/main.917e0036.js
[GIN] 2024/10/05 - 02:49:53 | 2024100502495378150106516061351 | 200 |     781.775µs |   192.168.1.109 |     GET /logo.png
[GIN] 2024/10/05 - 02:49:53 | 2024100502495378029434230868905 | 200 |    3.279845ms |   192.168.1.109 |     GET /static/js/832.ab3d9d10.chunk.js
[GIN] 2024/10/05 - 02:49:53 | 2024100502495383574256525967113 | 200 |    5.130743ms |   192.168.1.109 |     GET /api/status
[GIN] 2024/10/05 - 02:49:53 | 2024100502495383571918504712791 | 200 |    7.038498ms |   192.168.1.109 |     GET /static/media/icons.38c6d8bab26db77d8c80.woff2
[GIN] 2024/10/05 - 02:49:53 | 2024100502495384471842068682994 | 200 |     907.692µs |   192.168.1.109 |     GET /api/notice
[GIN] 2024/10/05 - 02:49:53 | 2024100502495384800948700066285 | 200 |     129.974µs |   192.168.1.109 |     GET /api/home_page_content
[SYS] 2024/10/05 - 02:49:58 | batch update started 
[SYS] 2024/10/05 - 02:49:58 | batch update finished 
[SYS] 2024/10/05 - 02:50:08 | batch update started 
[SYS] 2024/10/05 - 02:50:08 | batch update finished 
[GIN] 2024/10/05 - 02:50:15 | 2024100502501510241507358994637 | 200 |   83.144086ms |   192.168.1.109 |    POST /api/user/login
[GIN] 2024/10/05 - 02:50:15 | 2024100502501520735107998891147 | 200 |    1.124208ms |   192.168.1.109 |     GET /api/token/?p=0&order=
[GIN] 2024/10/05 - 02:50:17 | 2024100502501768486940669006537 | 200 |    1.826029ms |   192.168.1.109 |     GET /api/channel/?p=0
[GIN] 2024/10/05 - 02:50:17 | 2024100502501768584423521111837 | 200 |     1.02562ms |   192.168.1.109 |     GET /api/models
[SYS] 2024/10/05 - 02:50:18 | batch update started 
[SYS] 2024/10/05 - 02:50:18 | batch update finished 
[SYS] 2024/10/05 - 02:50:21 | {"prompt":[{"role":"user","content":"hi"}],"temperature":0.01,"top_p":0.01} 
[SYS] 2024/10/05 - 02:50:23 | testing channel #1, response: 
{"id":"20241005105021f564bdb943af4f52","model":"chatglm","object":"chat.completion","created":1728096623,"choices":[{"index":0,"message":{"role":"assistant","content":" Hello! How can I help you today? If you have any questions or need assistance, please feel free to ask."},"finish_reason":"stop"}],"usage":{"prompt_tokens":1,"completion_tokens":24,"total_tokens":25}} 
[GIN] 2024/10/05 - 02:50:23 | 2024100502502119963006528051250 | 200 |  2.331866323s |   192.168.1.109 |     GET /api/channel/test/1
[ERR] 2024/10/05 - 02:50:26 | 2024100502502619311358996879622 | 当前分组 default 下对于模型 gpt-4o-mini 无可用渠道 
[GIN] 2024/10/05 - 02:50:26 | 2024100502502619311358996879622 | 503 |     1.15442ms |      172.19.0.7 |    POST /v1/chat/completions
[ERR] 2024/10/05 - 02:50:26 | 2024100502502668705304401597881 | 当前分组 default 下对于模型 gpt-4o-mini 无可用渠道 
[GIN] 2024/10/05 - 02:50:26 | 2024100502502668705304401597881 | 503 |    4.360771ms |      172.19.0.7 |    POST /v1/chat/completions
[ERR] 2024/10/05 - 02:50:27 | 2024100502502746340698039624069 | 当前分组 default 下对于模型 gpt-4o-mini 无可用渠道 
[GIN] 2024/10/05 - 02:50:27 | 2024100502502746340698039624069 | 503 |    1.229546ms |      172.19.0.7 |    POST /v1/chat/completions
[SYS] 2024/10/05 - 02:50:28 | batch update started 
[SYS] 2024/10/05 - 02:50:28 | batch update finished 
[SYS] 2024/10/05 - 02:50:38 | batch update started 
[SYS] 2024/10/05 - 02:50:38 | batch update finished 
[SYS] 2024/10/05 - 02:50:42 | One API v0.6.6 started 
[SYS] 2024/10/05 - 02:50:42 | using MySQL as database 
[SYS] 2024/10/05 - 02:50:42 | database migration started 
[SYS] 2024/10/05 - 02:50:42 | database migrated 
[SYS] 2024/10/05 - 02:50:42 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2024/10/05 - 02:50:42 | using theme default 
[SYS] 2024/10/05 - 02:50:42 | memory cache enabled 
[SYS] 2024/10/05 - 02:50:42 | sync frequency: 600 seconds 
[SYS] 2024/10/05 - 02:50:42 | channels synced from database 
[SYS] 2024/10/05 - 02:50:42 | batch update enabled with interval 10s 
[SYS] 2024/10/05 - 02:50:42 | initializing token encoders 
[SYS] 2024/10/05 - 02:50:42 | token encoders initialized 
[ERR] 2024/10/05 - 02:50:44 | 2024100502504444861646122631677 | 当前分组 default 下对于模型 gpt-4o-mini 无可用渠道 
[GIN] 2024/10/05 - 02:50:44 | 2024100502504444861646122631677 | 503 |    2.568957ms |      172.19.0.7 |    POST /v1/chat/completions
[ERR] 2024/10/05 - 02:50:44 | 2024100502504491378659306539309 | 当前分组 default 下对于模型 gpt-4o-mini 无可用渠道 
[GIN] 2024/10/05 - 02:50:44 | 2024100502504491378659306539309 | 503 |     4.42394ms |      172.19.0.7 |    POST /v1/chat/completions
[ERR] 2024/10/05 - 02:50:45 | 2024100502504568242991048033749 | 当前分组 default 下对于模型 gpt-4o-mini 无可用渠道 
[GIN] 2024/10/05 - 02:50:45 | 2024100502504568242991048033749 | 503 |    5.679651ms |      172.19.0.7 |    POST /v1/chat/completions
[SYS] 2024/10/05 - 02:50:52 | batch update started 
[SYS] 2024/10/05 - 02:50:52 | batch update finished 
[SYS] 2024/10/05 - 02:50:58 | model ratio not found: glm-4-plus 
[INFO] 2024/10/05 - 02:50:58 | 2024100502505873782833286137006 | user 1 has enough quota 499999999789992, trusted and no need to pre-consume 
[GIN] 2024/10/05 - 02:51:01 | 2024100502505873782833286137006 | 200 |  3.199758713s |      172.19.0.7 |    POST /v1/chat/completions
[ERR] 2024/10/05 - 02:51:01 | 2024100502505873782833286137006 | usage is nil, which is unexpected 
[SYS] 2024/10/05 - 02:51:02 | batch update started 
[SYS] 2024/10/05 - 02:51:02 | batch update finished 
[SYS] 2024/10/05 - 02:51:12 | batch update started 
[SYS] 2024/10/05 - 02:51:12 | batch update finished 
[SYS] 2024/10/05 - 02:51:22 | batch update started 
[SYS] 2024/10/05 - 02:51:22 | batch update finished 
[SYS] 2024/10/05 - 02:51:32 | batch update started 
[SYS] 2024/10/05 - 02:51:32 | batch update finished 
[SYS] 2024/10/05 - 02:51:42 | batch update started 
[SYS] 2024/10/05 - 02:51:42 | batch update finished 
[SYS] 2024/10/05 - 02:51:52 | batch update started 
[SYS] 2024/10/05 - 02:51:52 | batch update finished 
[SYS] 2024/10/05 - 02:52:02 | batch update started 
[SYS] 2024/10/05 - 02:52:02 | batch update finished 
[SYS] 2024/10/05 - 02:52:12 | batch update started 
[SYS] 2024/10/05 - 02:52:12 | batch update finished 
[SYS] 2024/10/05 - 02:52:22 | batch update started 
[SYS] 2024/10/05 - 02:52:22 | batch update finished 
[SYS] 2024/10/05 - 02:52:32 | batch update started 
[SYS] 2024/10/05 - 02:52:32 | batch update finished 
[SYS] 2024/10/05 - 02:52:42 | batch update started 
[SYS] 2024/10/05 - 02:52:42 | batch update finished 
[SYS] 2024/10/05 - 02:52:52 | batch update started 
[SYS] 2024/10/05 - 02:52:52 | batch update finished 
[SYS] 2024/10/05 - 02:53:02 | batch update started 
[SYS] 2024/10/05 - 02:53:02 | batch update finished 
[SYS] 2024/10/05 - 02:53:12 | batch update started 
[SYS] 2024/10/05 - 02:53:12 | batch update finished 
[SYS] 2024/10/05 - 02:53:22 | batch update started 
[SYS] 2024/10/05 - 02:53:22 | batch update finished 
[SYS] 2024/10/05 - 02:53:32 | batch update started 
[SYS] 2024/10/05 - 02:53:32 | batch update finished 
[SYS] 2024/10/05 - 02:53:42 | batch update started 
[SYS] 2024/10/05 - 02:53:42 | batch update finished 
[SYS] 2024/10/05 - 02:53:52 | batch update started 
[SYS] 2024/10/05 - 02:53:52 | batch update finished 
[SYS] 2024/10/05 - 02:54:02 | batch update started 
[SYS] 2024/10/05 - 02:54:02 | batch update finished 
[SYS] 2024/10/05 - 02:54:12 | batch update started 
[SYS] 2024/10/05 - 02:54:12 | batch update finished 
[SYS] 2024/10/05 - 02:54:22 | batch update started 
[SYS] 2024/10/05 - 02:54:22 | batch update finished 
[SYS] 2024/10/05 - 02:54:32 | batch update started 
[SYS] 2024/10/05 - 02:54:32 | batch update finished 
[SYS] 2024/10/05 - 02:54:42 | batch update started 
[SYS] 2024/10/05 - 02:54:42 | batch update finished 
[SYS] 2024/10/05 - 02:54:52 | batch update started 
[SYS] 2024/10/05 - 02:54:52 | batch update finished 
[SYS] 2024/10/05 - 02:55:02 | batch update started 
[SYS] 2024/10/05 - 02:55:02 | batch update finished 
[SYS] 2024/10/05 - 02:55:12 | batch update started 
[SYS] 2024/10/05 - 02:55:12 | batch update finished 
[SYS] 2024/10/05 - 02:55:22 | batch update started 
[SYS] 2024/10/05 - 02:55:22 | batch update finished 
[SYS] 2024/10/05 - 02:55:32 | batch update started 
[SYS] 2024/10/05 - 02:55:32 | batch update finished 
[SYS] 2024/10/05 - 02:55:42 | batch update started 
[SYS] 2024/10/05 - 02:55:42 | batch update finished 
[SYS] 2024/10/05 - 02:55:52 | batch update started 
[SYS] 2024/10/05 - 02:55:52 | batch update finished 
[SYS] 2024/10/05 - 02:56:02 | batch update started 
[SYS] 2024/10/05 - 02:56:02 | batch update finished 
[SYS] 2024/10/05 - 02:56:12 | batch update started 
[SYS] 2024/10/05 - 02:56:12 | batch update finished 
[SYS] 2024/10/05 - 02:56:22 | batch update started 
[SYS] 2024/10/05 - 02:56:22 | batch update finished 
[SYS] 2024/10/05 - 02:56:32 | batch update started 
[SYS] 2024/10/05 - 02:56:32 | batch update finished 
[SYS] 2024/10/05 - 02:56:42 | batch update started 
[SYS] 2024/10/05 - 02:56:42 | batch update finished 
[SYS] 2024/10/05 - 02:56:52 | batch update started 
[SYS] 2024/10/05 - 02:56:52 | batch update finished 
[SYS] 2024/10/05 - 02:57:02 | batch update started 
[SYS] 2024/10/05 - 02:57:02 | batch update finished 
[SYS] 2024/10/05 - 02:57:12 | batch update started 
[SYS] 2024/10/05 - 02:57:12 | batch update finished 
[SYS] 2024/10/05 - 02:57:22 | batch update started 
[SYS] 2024/10/05 - 02:57:22 | batch update finished 
[SYS] 2024/10/05 - 02:57:32 | batch update started 
[SYS] 2024/10/05 - 02:57:32 | batch update finished 
[SYS] 2024/10/05 - 02:57:42 | batch update started 
[SYS] 2024/10/05 - 02:57:42 | batch update finished 
[SYS] 2024/10/05 - 02:57:52 | batch update started 
[SYS] 2024/10/05 - 02:57:52 | batch update finished 
[SYS] 2024/10/05 - 02:58:02 | batch update started 
[SYS] 2024/10/05 - 02:58:02 | batch update finished 
[SYS] 2024/10/05 - 02:58:12 | batch update started 
[SYS] 2024/10/05 - 02:58:12 | batch update finished 
[SYS] 2024/10/05 - 02:58:22 | batch update started 
[SYS] 2024/10/05 - 02:58:22 | batch update finished 
[SYS] 2024/10/05 - 02:58:32 | batch update started 
[SYS] 2024/10/05 - 02:58:32 | batch update finished 
[SYS] 2024/10/05 - 02:58:42 | batch update started 
[SYS] 2024/10/05 - 02:58:42 | batch update finished 
[SYS] 2024/10/05 - 02:58:52 | batch update started 
[SYS] 2024/10/05 - 02:58:52 | batch update finished 
[SYS] 2024/10/05 - 02:59:02 | batch update started 
[SYS] 2024/10/05 - 02:59:02 | batch update finished 
[SYS] 2024/10/05 - 02:59:12 | batch update started 
[SYS] 2024/10/05 - 02:59:12 | batch update finished 
[SYS] 2024/10/05 - 02:59:22 | batch update started 
[SYS] 2024/10/05 - 02:59:22 | batch update finished 
[SYS] 2024/10/05 - 02:59:32 | batch update started 
[SYS] 2024/10/05 - 02:59:32 | batch update finished 
[SYS] 2024/10/05 - 02:59:42 | batch update started 
[SYS] 2024/10/05 - 02:59:42 | batch update finished 
[SYS] 2024/10/05 - 02:59:52 | batch update started 
[SYS] 2024/10/05 - 02:59:52 | batch update finished 
[SYS] 2024/10/05 - 03:00:02 | batch update started 
[SYS] 2024/10/05 - 03:00:02 | batch update finished 
[SYS] 2024/10/05 - 03:00:12 | batch update started 
[SYS] 2024/10/05 - 03:00:12 | batch update finished 
[SYS] 2024/10/05 - 03:00:22 | batch update started 
[SYS] 2024/10/05 - 03:00:22 | batch update finished 
[SYS] 2024/10/05 - 03:00:32 | batch update started 
[SYS] 2024/10/05 - 03:00:32 | batch update finished 
[SYS] 2024/10/05 - 03:00:42 | syncing channels from database 
[SYS] 2024/10/05 - 03:00:42 | syncing options from database 
[SYS] 2024/10/05 - 03:00:42 | channels synced from database 
[SYS] 2024/10/05 - 03:00:42 | batch update started 
[SYS] 2024/10/05 - 03:00:42 | batch update finished 
[SYS] 2024/10/05 - 03:00:52 | batch update started 
[SYS] 2024/10/05 - 03:00:52 | batch update finished 
[SYS] 2024/10/05 - 03:01:02 | batch update started 
[SYS] 2024/10/05 - 03:01:02 | batch update finished 
[SYS] 2024/10/05 - 03:01:12 | batch update started 
[SYS] 2024/10/05 - 03:01:12 | batch update finished 
[SYS] 2024/10/05 - 03:01:22 | batch update started 
[SYS] 2024/10/05 - 03:01:22 | batch update finished 
[SYS] 2024/10/05 - 03:01:32 | batch update started 
[SYS] 2024/10/05 - 03:01:32 | batch update finished 
[SYS] 2024/10/05 - 03:01:42 | batch update started 
[SYS] 2024/10/05 - 03:01:42 | batch update finished 
[SYS] 2024/10/05 - 03:01:52 | batch update started 
[SYS] 2024/10/05 - 03:01:52 | batch update finished 
[SYS] 2024/10/05 - 03:02:02 | batch update started 
[SYS] 2024/10/05 - 03:02:02 | batch update finished 
[SYS] 2024/10/05 - 03:02:12 | batch update started 
[SYS] 2024/10/05 - 03:02:12 | batch update finished 
[SYS] 2024/10/05 - 03:02:22 | batch update started 
[SYS] 2024/10/05 - 03:02:22 | batch update finished 
[SYS] 2024/10/05 - 03:02:32 | batch update started 
[SYS] 2024/10/05 - 03:02:32 | batch update finished 
[SYS] 2024/10/05 - 03:02:42 | batch update started 
[SYS] 2024/10/05 - 03:02:42 | batch update finished 
[SYS] 2024/10/05 - 03:02:52 | batch update started 
[SYS] 2024/10/05 - 03:02:52 | batch update finished 
[SYS] 2024/10/05 - 03:03:02 | batch update started 
[SYS] 2024/10/05 - 03:03:02 | batch update finished 
[SYS] 2024/10/05 - 03:03:12 | batch update started 
[SYS] 2024/10/05 - 03:03:12 | batch update finished 
[SYS] 2024/10/05 - 03:03:22 | batch update started 
[SYS] 2024/10/05 - 03:03:22 | batch update finished 
[SYS] 2024/10/05 - 03:03:32 | batch update started 
[SYS] 2024/10/05 - 03:03:32 | batch update finished 
[SYS] 2024/10/05 - 03:03:42 | batch update started 
[SYS] 2024/10/05 - 03:03:42 | batch update finished 
[SYS] 2024/10/05 - 03:03:52 | batch update started 
[SYS] 2024/10/05 - 03:03:52 | batch update finished 
[SYS] 2024/10/05 - 03:04:02 | batch update started 
[SYS] 2024/10/05 - 03:04:02 | batch update finished 
[SYS] 2024/10/05 - 03:04:12 | batch update started 
[SYS] 2024/10/05 - 03:04:12 | batch update finished 
[SYS] 2024/10/05 - 03:04:22 | batch update started 
[SYS] 2024/10/05 - 03:04:22 | batch update finished 
[SYS] 2024/10/05 - 03:04:32 | batch update started 
[SYS] 2024/10/05 - 03:04:32 | batch update finished 
[SYS] 2024/10/05 - 03:04:42 | batch update started 
[SYS] 2024/10/05 - 03:04:42 | batch update finished 
[SYS] 2024/10/05 - 03:04:52 | batch update started 
[SYS] 2024/10/05 - 03:04:52 | batch update finished 
[SYS] 2024/10/05 - 03:05:02 | batch update started 
[SYS] 2024/10/05 - 03:05:02 | batch update finished 
[SYS] 2024/10/05 - 03:05:12 | batch update started 
[SYS] 2024/10/05 - 03:05:12 | batch update finished 
[SYS] 2024/10/05 - 03:05:22 | batch update started 
[SYS] 2024/10/05 - 03:05:22 | batch update finished 
[SYS] 2024/10/05 - 03:05:32 | batch update started 
[SYS] 2024/10/05 - 03:05:32 | batch update finished 
[SYS] 2024/10/05 - 03:05:42 | batch update started 
[SYS] 2024/10/05 - 03:05:42 | batch update finished 
[SYS] 2024/10/05 - 03:05:52 | batch update started 
[SYS] 2024/10/05 - 03:05:52 | batch update finished 
[SYS] 2024/10/05 - 03:06:02 | batch update started 
[SYS] 2024/10/05 - 03:06:02 | batch update finished 
[SYS] 2024/10/05 - 03:06:12 | batch update started 
[SYS] 2024/10/05 - 03:06:12 | batch update finished 
[SYS] 2024/10/05 - 03:06:22 | batch update started 
[SYS] 2024/10/05 - 03:06:22 | batch update finished 
[SYS] 2024/10/05 - 03:06:33 | batch update started 
[SYS] 2024/10/05 - 03:06:33 | batch update finished 
[SYS] 2024/10/05 - 03:06:43 | batch update started 
[SYS] 2024/10/05 - 03:06:43 | batch update finished 
[SYS] 2024/10/05 - 03:06:53 | batch update started 
[SYS] 2024/10/05 - 03:06:53 | batch update finished 
[SYS] 2024/10/05 - 03:07:03 | batch update started 
[SYS] 2024/10/05 - 03:07:03 | batch update finished 
[SYS] 2024/10/05 - 03:07:13 | batch update started 
[SYS] 2024/10/05 - 03:07:13 | batch update finished 
[SYS] 2024/10/05 - 03:07:23 | batch update started 
[SYS] 2024/10/05 - 03:07:23 | batch update finished 
[SYS] 2024/10/05 - 03:07:33 | batch update started 
[SYS] 2024/10/05 - 03:07:33 | batch update finished 
[SYS] 2024/10/05 - 03:07:43 | batch update started 
[SYS] 2024/10/05 - 03:07:43 | batch update finished 
[SYS] 2024/10/05 - 03:07:53 | batch update started 
[SYS] 2024/10/05 - 03:07:53 | batch update finished 
[SYS] 2024/10/05 - 03:08:03 | batch update started 
[SYS] 2024/10/05 - 03:08:03 | batch update finished 
[SYS] 2024/10/05 - 03:08:13 | batch update started 
[SYS] 2024/10/05 - 03:08:13 | batch update finished 
[SYS] 2024/10/05 - 03:08:23 | batch update started 
[SYS] 2024/10/05 - 03:08:23 | batch update finished 
[SYS] 2024/10/05 - 03:08:33 | batch update started 
